Approved symbol	Ensembl ID(supplied by Ensembl)
METAP1D	ENSG00000172878
METAP2	ENSG00000111142
METRN	ENSG00000103260
METRNL	ENSG00000176845
METTL1	ENSG00000037897
METTL2A	ENSG00000087995
METTL2B	ENSG00000165055
METTL3	ENSG00000165819
METTL4	ENSG00000101574
METTL5	ENSG00000138382
METTL6	ENSG00000206562
METTL7A	ENSG00000185432
METTL7AP1	ENSG00000257649
METTL7B	ENSG00000170439
METTL8	ENSG00000123600
METTL8P1	ENSG00000256283
METTL9	ENSG00000197006
METTL11B	ENSG00000203740
METTL14	ENSG00000145388
METTL14-DT	ENSG00000281731
METTL15	ENSG00000169519
METTL15P1	ENSG00000174912
METTL15P2	
METTL15P3	ENSG00000224396
METTL16	ENSG00000127804
METTL17	ENSG00000165792
METTL18	ENSG00000171806
METTL21A	ENSG00000144401
METTL21AP1	ENSG00000229623
METTL21C	ENSG00000139780
METTL21EP	ENSG00000250878
METTL22	ENSG00000067365
METTL23	ENSG00000181038
METTL24	ENSG00000053328
METTL25	ENSG00000127720
METTL26	ENSG00000130731
METTL27	ENSG00000165171
MEX3A	ENSG00000254726
MEX3B	ENSG00000183496
MEX3C	ENSG00000176624
MEX3D	ENSG00000181588
MFAP1	ENSG00000140259
MFAP1P1	ENSG00000232489
MFAP2	ENSG00000117122
MFAP3	ENSG00000037749
MFAP3L	ENSG00000198948
MFAP4	ENSG00000166482
MFAP5	ENSG00000197614
MFF	ENSG00000168958
MFGE8	ENSG00000140545
MFHAS1	ENSG00000147324
MFN1	ENSG00000171109
MFN2	ENSG00000116688
MFNG	ENSG00000100060
MFRP	ENSG00000235718
MFSD1	ENSG00000118855
MFSD1P1	ENSG00000261868
MFSD2A	ENSG00000168389
MFSD2B	ENSG00000205639
MFSD3	ENSG00000167700
MFSD4A	ENSG00000174514
MFSD4A-AS1	
MFSD4B	ENSG00000173214
MFSD4BP1	ENSG00000250827
MFSD5	ENSG00000182544
MFSD6	ENSG00000151690
MFSD6L	ENSG00000185156
MFSD8	ENSG00000164073
MFSD9	ENSG00000135953
MFSD10	ENSG00000109736
MFSD11	ENSG00000092931
MFSD12	ENSG00000161091
MFSD13A	ENSG00000138111
MFSD13B	ENSG00000230872
MFSD14A	ENSG00000156875
MFSD14B	ENSG00000148110
MFSD14C	ENSG00000196312
MGA	ENSG00000174197
MGAM	ENSG00000257335
MGAM2	ENSG00000257743
MGARP	ENSG00000137463
MGAT1	ENSG00000131446
MGAT2	ENSG00000168282
MGAT2P1	ENSG00000233861
MGAT2P2	ENSG00000238200
MGAT3	ENSG00000128268
MGAT3-AS1	ENSG00000227188
MGAT4A	ENSG00000071073
MGAT4B	ENSG00000161013
MGAT4C	ENSG00000182050
MGAT4D	ENSG00000205301
MGAT4EP	ENSG00000184774
MGAT5	ENSG00000152127
MGAT5B	ENSG00000167889
MGLL	ENSG00000074416
MGME1	ENSG00000125871
MGMT	ENSG00000170430
MGP	ENSG00000111341
MGRN1	ENSG00000102858
MGST1	ENSG00000008394
MGST2	ENSG00000085871
MGST3	ENSG00000143198
MHAC	
MHENCR	ENSG00000232442
MHRT	
MHS2	
MHS4	
MHS6	
MIA	ENSG00000261857
MIA-RAB4B	ENSG00000268975
MIA2	ENSG00000150527
MIA3	ENSG00000154305
MIAT	ENSG00000225783
MIATNB	ENSG00000244625
MIB1	ENSG00000101752
MIB2	ENSG00000197530
MIC7	
MIC12	
MICA	ENSG00000204520
MICA-AS1	
MICAL1	ENSG00000135596
MICAL2	ENSG00000133816
MICAL3	ENSG00000243156
MICALCL	
MICALL1	ENSG00000100139
MICALL2	ENSG00000164877
MICB	ENSG00000204516
MICB-DT	
MICC	ENSG00000226577
MICD	ENSG00000229390
MICE	ENSG00000273340
MICF	
MICG	ENSG00000237042
MICOS10	ENSG00000173436
MICOS10-NBL1	ENSG00000270136
MICOS10P1	
MICOS10P2	ENSG00000270714
MICOS10P3	ENSG00000224237
MICOS10P4	ENSG00000248117
MICOS13	ENSG00000174917
MICU1	ENSG00000107745
MICU2	ENSG00000165487
MICU3	ENSG00000155970
MID1	ENSG00000101871
MID1IP1	ENSG00000165175
MID1IP1-AS1	ENSG00000238123
MID2	ENSG00000080561
MIDN	ENSG00000167470
MIEF1	ENSG00000100335
MIEF2	ENSG00000177427
MIEN1	ENSG00000141741
MIER1	ENSG00000198160
MIER2	ENSG00000105556
MIER3	ENSG00000155545
MIF	ENSG00000240972
MIF-AS1	ENSG00000218537
MIF4GD	ENSG00000125457
MIGA1	ENSG00000180488
MIGA2	ENSG00000148343
MIIP	ENSG00000116691
MILR1	ENSG00000271605
MIMT1	ENSG00000268654
MINAR1	ENSG00000169330
MINAR2	ENSG00000186367
MINCR	ENSG00000253716
MINDY1	ENSG00000143409
MINDY2	ENSG00000128923
MINDY3	ENSG00000148481
MINDY4	ENSG00000106125
MINDY4B	ENSG00000214237
MINK1	ENSG00000141503
MINPP1	ENSG00000107789
MIOS	ENSG00000164654
MIOX	ENSG00000100253
MIOXP1	ENSG00000253292
MIP	ENSG00000135517
MIPEP	ENSG00000027001
MIPEPP1	ENSG00000225358
MIPEPP2	ENSG00000224783
MIPEPP3	ENSG00000233325
MIPOL1	ENSG00000151338
MIR1-1	ENSG00000199017
MIR1-1HG	ENSG00000174407
MIR1-1HG-AS1	ENSG00000174403
MIR1-2	ENSG00000284453
MIR7-1	ENSG00000284179
MIR7-2	ENSG00000207703
MIR7-3	ENSG00000207630
MIR7-3HG	ENSG00000176840
MIR9-1	ENSG00000207933
MIR9-2	ENSG00000284447
MIR9-3	ENSG00000284329
MIR9-3HG	ENSG00000255571
MIR10A	ENSG00000284038
MIR10B	ENSG00000207744
MIR15A	ENSG00000283785
MIR15B	ENSG00000207779
MIR16-1	ENSG00000208006
MIR16-2	ENSG00000198987
MIR17	ENSG00000284536
MIR17HG	ENSG00000215417
MIR18A	ENSG00000283815
MIR18B	ENSG00000283931
MIR19A	ENSG00000284204
MIR19B1	ENSG00000284375
MIR19B2	ENSG00000284107
MIR20A	ENSG00000283762
MIR20B	ENSG00000284043
MIR21	ENSG00000284190
MIR22	ENSG00000283824
MIR22HG	ENSG00000186594
MIR23A	ENSG00000207980
MIR23B	ENSG00000207563
MIR23C	ENSG00000264566
MIR24-1	ENSG00000284459
MIR24-2	ENSG00000284387
MIR25	ENSG00000207547
MIR26A1	ENSG00000199075
MIR26A2	ENSG00000207789
MIR26B	ENSG00000199121
MIR27A	ENSG00000207808
MIR27B	ENSG00000207864
MIR28	ENSG00000207651
MIR29A	ENSG00000284032
MIR29B1	ENSG00000283797
MIR29B2	ENSG00000284203
MIR29B2CHG	ENSG00000203709
MIR29C	ENSG00000284214
MIR30A	ENSG00000207827
MIR30B	ENSG00000207582
MIR30C1	ENSG00000207962
MIR30C2	ENSG00000199094
MIR30D	ENSG00000199153
MIR30E	ENSG00000198974
MIR31	ENSG00000199177
MIR31HG	ENSG00000171889
MIR32	ENSG00000207698
MIR33A	ENSG00000207932
MIR33B	ENSG00000207839
MIR34A	ENSG00000284357
MIR34AHG	ENSG00000228526
MIR34B	ENSG00000207811
MIR34C	ENSG00000207562
MIR92A1	ENSG00000283705
MIR92A2	ENSG00000284538
MIR92B	ENSG00000284586
MIR93	ENSG00000207757
MIR95	ENSG00000207807
MIR96	ENSG00000199158
MIR98	ENSG00000271886
MIR99A	ENSG00000207638
MIR99AHG	ENSG00000215386
MIR99B	ENSG00000207550
MIR100	ENSG00000207994
MIR100HG	ENSG00000255248
MIR101-1	ENSG00000199135
MIR101-2	ENSG00000199065
MIR103A1	ENSG00000199035
MIR103A2	ENSG00000199024
MIR103B1	ENSG00000283612
MIR103B2	ENSG00000283320
MIR105-1	ENSG00000207957
MIR105-2	ENSG00000207818
MIR106A	ENSG00000284157
MIR106B	ENSG00000208036
MIR107	ENSG00000198997
MIR122	ENSG00000284440
MIR122HG	ENSG00000267391
MIR124-1	ENSG00000284321
MIR124-2	ENSG00000207816
MIR124-2HG	ENSG00000254377
MIR124-3	ENSG00000207598
MIR125A	ENSG00000208008
MIR125B1	ENSG00000207971
MIR125B2	ENSG00000207863
MIR126	ENSG00000199161
MIR127	ENSG00000207608
MIR128-1	ENSG00000207654
MIR128-2	ENSG00000207625
MIR129-1	ENSG00000207705
MIR129-2	ENSG00000199077
MIR130A	ENSG00000208009
MIR130B	ENSG00000283871
MIR132	ENSG00000267200
MIR133A1	ENSG00000283927
MIR133A1HG	ENSG00000265142
MIR133A2	ENSG00000284508
MIR133B	ENSG00000199080
MIR134	ENSG00000207993
MIR135A1	ENSG00000207926
MIR135A2	ENSG00000207586
MIR135B	ENSG00000199059
MIR136	ENSG00000207942
MIR137	ENSG00000284202
MIR137HG	ENSG00000225206
MIR138-1	ENSG00000207954
MIR138-2	ENSG00000207649
MIR139	ENSG00000272036
MIR140	ENSG00000208017
MIR141	ENSG00000207708
MIR142	ENSG00000284353
MIR143	ENSG00000284182
MIR144	ENSG00000283819
MIR145	ENSG00000276365
MIR146A	ENSG00000283733
MIR146B	ENSG00000202569
MIR147A	ENSG00000207814
MIR147B	ENSG00000284386
MIR148A	ENSG00000199085
MIR148B	ENSG00000199122
MIR149	ENSG00000207611
MIR150	ENSG00000207782
MIR151A	ENSG00000254324
MIR151B	ENSG00000265154
MIR152	ENSG00000207947
MIR153-1	ENSG00000207647
MIR153-2	ENSG00000207960
MIR154	ENSG00000207978
MIR155	ENSG00000283904
MIR155HG	ENSG00000234883
MIR181A1	ENSG00000207759
MIR181A1HG	ENSG00000229989
MIR181A2	ENSG00000207595
MIR181A2HG	ENSG00000224020
MIR181B1	ENSG00000207975
MIR181B2	ENSG00000207737
MIR181C	ENSG00000207613
MIR181D	ENSG00000207585
MIR182	ENSG00000207990
MIR183	ENSG00000207691
MIR184	ENSG00000207695
MIR185	ENSG00000208023
MIR186	ENSG00000207721
MIR187	ENSG00000207797
MIR188	ENSG00000207768
MIR190A	ENSG00000211137
MIR190B	ENSG00000215938
MIR191	ENSG00000207605
MIR192	ENSG00000283926
MIR193A	ENSG00000207614
MIR193B	ENSG00000207639
MIR193BHG	ENSG00000262454
MIR194-1	ENSG00000207624
MIR194-2	ENSG00000284155
MIR194-2HG	ENSG00000229719
MIR195	ENSG00000284112
MIR196A1	ENSG00000210741
MIR196A2	ENSG00000207924
MIR196B	ENSG00000283745
MIR197	ENSG00000284443
MIR198	ENSG00000284121
MIR199A1	ENSG00000207752
MIR199A2	ENSG00000208024
MIR199B	ENSG00000207581
MIR200A	ENSG00000207607
MIR200B	ENSG00000207730
MIR200C	ENSG00000207713
MIR200CHG	ENSG00000257084
MIR202	ENSG00000284219
MIR202HG	ENSG00000166917
MIR203A	ENSG00000207568
MIR203B	ENSG00000283165
MIR204	ENSG00000207935
MIR205	ENSG00000284485
MIR205HG	ENSG00000230937
MIR206	ENSG00000207604
MIR208A	ENSG00000199157
MIR208B	ENSG00000215991
MIR210	ENSG00000199038
MIR210HG	ENSG00000247095
MIR211	ENSG00000207702
MIR212	ENSG00000267195
MIR214	ENSG00000283844
MIR215	ENSG00000207590
MIR216A	ENSG00000207798
MIR216B	ENSG00000211520
MIR217	ENSG00000207548
MIR217HG	ENSG00000226702
MIR218-1	ENSG00000207732
MIR218-2	ENSG00000207739
MIR219A1	ENSG00000199036
MIR219A2	ENSG00000284185
MIR219B	ENSG00000283335
MIR221	ENSG00000207870
MIR222	ENSG00000207725
MIR222HG	ENSG00000270069
MIR223	ENSG00000284567
MIR224	ENSG00000284363
MIR296	ENSG00000284040
MIR297	ENSG00000215961
MIR298	ENSG00000216031
MIR299	ENSG00000207749
MIR300	ENSG00000215957
MIR301A	ENSG00000207996
MIR301B	ENSG00000212102
MIR302A	ENSG00000207927
MIR302B	ENSG00000284463
MIR302C	ENSG00000199102
MIR302CHG	ENSG00000249532
MIR302D	ENSG00000199145
MIR302E	ENSG00000221703
MIR302F	ENSG00000283218
MIR320A	ENSG00000208037
MIR320B1	ENSG00000211543
MIR320B2	ENSG00000221406
MIR320C1	ENSG00000221493
MIR320C2	ENSG00000212051
MIR320D1	ENSG00000211491
MIR320D2	ENSG00000221081
MIR320E	ENSG00000211513
MIR323A	ENSG00000199069
MIR323B	ENSG00000208004
MIR324	ENSG00000199053
MIR325	ENSG00000207995
MIR325HG	
MIR326	ENSG00000199090
MIR328	ENSG00000207948
MIR329-1	ENSG00000207761
MIR329-2	ENSG00000207762
MIR330	ENSG00000284544
MIR331	ENSG00000199172
MIR335	ENSG00000199043
MIR337	ENSG00000199151
MIR338	ENSG00000283604
MIR339	ENSG00000199023
MIR340	ENSG00000198995
MIR342	ENSG00000199082
MIR345	ENSG00000198984
MIR346	ENSG00000199104
MIR361	ENSG00000199051
MIR362	ENSG00000208015
MIR363	ENSG00000284499
MIR365A	ENSG00000199130
MIR365B	ENSG00000283978
MIR367	ENSG00000199169
MIR369	ENSG00000199025
MIR370	ENSG00000199005
MIR371A	ENSG00000199031
MIR371B	ENSG00000284568
MIR372	ENSG00000199095
MIR373	ENSG00000199143
MIR374A	ENSG00000199168
MIR374B	ENSG00000212027
MIR374C	ENSG00000283534
MIR375	ENSG00000198973
MIR376A1	ENSG00000283588
MIR376A2	ENSG00000283561
MIR376B	ENSG00000283556
MIR376C	ENSG00000283279
MIR377	ENSG00000199015
MIR378A	ENSG00000199047
MIR378B	ENSG00000264534
MIR378C	ENSG00000264803
MIR378D1	ENSG00000263631
MIR378D2	ENSG00000284288
MIR378D2HG	ENSG00000264448
MIR378E	ENSG00000263831
MIR378F	ENSG00000264926
MIR378G	ENSG00000263526
MIR378H	ENSG00000263361
MIR378I	ENSG00000283829
MIR378J	ENSG00000274620
MIR379	ENSG00000199088
MIR380	ENSG00000198982
MIR381	ENSG00000199020
MIR381HG	ENSG00000258861
MIR382	ENSG00000283170
MIR383	ENSG00000199127
MIR384	ENSG00000283242
MIR409	ENSG00000199107
MIR410	ENSG00000199092
MIR411	ENSG00000199109
MIR412	ENSG00000199012
MIR421	ENSG00000202566
MIR422A	ENSG00000199156
MIR423	ENSG00000283935
MIR424	ENSG00000284231
MIR425	ENSG00000199032
MIR429	ENSG00000198976
MIR431	ENSG00000208001
MIR432	ENSG00000272458
MIR433	ENSG00000207569
MIR448	ENSG00000199001
MIR449A	ENSG00000198983
MIR449B	ENSG00000207728
MIR449C	ENSG00000251856
MIR450A1	ENSG00000199132
MIR450A2	ENSG00000207755
MIR450B	ENSG00000216001
MIR451A	ENSG00000284565
MIR451B	ENSG00000283364
MIR452	ENSG00000283751
MIR454	ENSG00000211514
MIR455	ENSG00000207726
MIR466	ENSG00000265376
MIR483	ENSG00000207805
MIR484	ENSG00000283736
MIR485	ENSG00000208027
MIR486-1	ENSG00000274705
MIR486-2	ENSG00000283450
MIR487A	ENSG00000207742
MIR487B	ENSG00000207754
MIR488	ENSG00000202609
MIR489	ENSG00000207656
MIR490	ENSG00000207597
MIR491	ENSG00000207609
MIR492	ENSG00000283998
MIR493	ENSG00000207989
MIR494	ENSG00000194717
MIR495	ENSG00000207743
MIR496	ENSG00000207961
MIR497	ENSG00000284027
MIR497HG	ENSG00000267532
MIR498	ENSG00000207869
MIR499A	ENSG00000207635
MIR499B	ENSG00000283441
MIR500A	ENSG00000207785
MIR500B	ENSG00000239057
MIR501	ENSG00000211538
MIR502	ENSG00000272080
MIR503	ENSG00000208005
MIR503HG	ENSG00000223749
MIR504	ENSG00000207800
MIR505	ENSG00000207633
MIR506	ENSG00000207731
MIR507	ENSG00000207969
MIR508	ENSG00000207589
MIR509-1	ENSG00000208000
MIR509-2	ENSG00000212013
MIR509-3	ENSG00000212014
MIR510	ENSG00000207641
MIR511	ENSG00000207938
MIR512-1	ENSG00000207645
MIR512-2	ENSG00000207644
MIR513A1	ENSG00000207873
MIR513A2	ENSG00000207984
MIR513B	ENSG00000207871
MIR513C	ENSG00000216171
MIR514A1	ENSG00000207868
MIR514A2	ENSG00000207866
MIR514A3	ENSG00000207867
MIR514B	ENSG00000252583
MIR515-1	ENSG00000207616
MIR515-2	ENSG00000207615
MIR516A1	ENSG00000207767
MIR516A2	ENSG00000207620
MIR516B1	ENSG00000207946
MIR516B2	ENSG00000207925
MIR517A	ENSG00000207734
MIR517B	ENSG00000207837
MIR517C	ENSG00000207838
MIR518A1	ENSG00000207803
MIR518A2	ENSG00000207699
MIR518B	ENSG00000207862
MIR518C	ENSG00000283490
MIR518D	ENSG00000283330
MIR518E	ENSG00000207987
MIR518F	ENSG00000207706
MIR519A1	ENSG00000207992
MIR519A2	ENSG00000284362
MIR519B	ENSG00000207825
MIR519C	ENSG00000207788
MIR519D	ENSG00000207981
MIR519E	ENSG00000207810
MIR520A	ENSG00000207594
MIR520B	ENSG00000207722
MIR520C	ENSG00000207738
MIR520D	ENSG00000207735
MIR520E	ENSG00000207599
MIR520F	ENSG00000283540
MIR520G	ENSG00000207799
MIR520H	ENSG00000207861
MIR521-1	ENSG00000207634
MIR521-2	ENSG00000207549
MIR522	ENSG00000283685
MIR523	ENSG00000283455
MIR524	ENSG00000283289
MIR525	ENSG00000207711
MIR526A1	ENSG00000207629
MIR526A2	ENSG00000211532
MIR526B	ENSG00000207580
MIR527	ENSG00000207979
MIR532	ENSG00000207758
MIR539	ENSG00000202560
MIR541	ENSG00000216179
MIR542	ENSG00000207784
MIR543	ENSG00000212040
MIR544A	ENSG00000207587
MIR544B	ENSG00000265981
MIR545	ENSG00000207820
MIR548A1	ENSG00000207775
MIR548A1HG	ENSG00000283408
MIR548A2	ENSG00000207689
MIR548A3	ENSG00000208032
MIR548AA1	ENSG00000207704
MIR548AA2	ENSG00000207688
MIR548AB	ENSG00000265328
MIR548AC	ENSG00000264419
MIR548AD	ENSG00000265301
MIR548AE1	ENSG00000266808
MIR548AE2	ENSG00000265699
MIR548AG1	ENSG00000265829
MIR548AG2	ENSG00000265617
MIR548AH	ENSG00000283682
MIR548AI	ENSG00000265226
MIR548AJ1	ENSG00000265669
MIR548AJ2	ENSG00000221466
MIR548AK	ENSG00000265653
MIR548AL	ENSG00000264402
MIR548AM	ENSG00000265144
MIR548AN	ENSG00000263515
MIR548AO	ENSG00000263372
MIR548AP	ENSG00000264406
MIR548AQ	ENSG00000265470
MIR548AR	ENSG00000264539
MIR548AS	ENSG00000263741
MIR548AT	ENSG00000264314
MIR548AU	ENSG00000283146
MIR548AV	ENSG00000263750
MIR548AW	ENSG00000263816
MIR548AX	ENSG00000263652
MIR548AY	ENSG00000276147
MIR548AZ	ENSG00000276479
MIR548B	ENSG00000207982
MIR548BA	ENSG00000212036
MIR548BB	ENSG00000281426
MIR548BC	
MIR548C	ENSG00000207546
MIR548D1	ENSG00000283172
MIR548D2	ENSG00000263690
MIR548E	ENSG00000221214
MIR548F1	ENSG00000221594
MIR548F2	ENSG00000221782
MIR548F3	ENSG00000221436
MIR548F4	ENSG00000221442
MIR548F5	ENSG00000221348
MIR548G	ENSG00000221369
MIR548H1	ENSG00000221537
MIR548H2	ENSG00000221801
MIR548H3	ENSG00000221698
MIR548H4	ENSG00000221616
MIR548H5	ENSG00000266807
MIR548I1	ENSG00000221737
MIR548I2	ENSG00000221275
MIR548I3	ENSG00000221305
MIR548I4	ENSG00000221494
MIR548J	ENSG00000221760
MIR548K	ENSG00000221333
MIR548L	ENSG00000221230
MIR548M	ENSG00000221187
MIR548N	ENSG00000221669
MIR548O	ENSG00000221510
MIR548O2	ENSG00000275453
MIR548P	ENSG00000221263
MIR548Q	ENSG00000221331
MIR548S	ENSG00000265056
MIR548T	ENSG00000221296
MIR548U	ENSG00000212017
MIR548V	ENSG00000265520
MIR548W	ENSG00000265005
MIR548X	ENSG00000265841
MIR548X2	ENSG00000263581
MIR548XHG	ENSG00000224141
MIR548Y	ENSG00000263945
MIR548Z	ENSG00000266016
MIR549A	ENSG00000208003
MIR550A1	ENSG00000207771
MIR550A2	ENSG00000207573
MIR550A3	ENSG00000212024
MIR550B1	ENSG00000283237
MIR550B2	ENSG00000283461
MIR551A	ENSG00000207776
MIR551B	ENSG00000207717
MIR552	ENSG00000207941
MIR553	ENSG00000207750
MIR554	ENSG00000207606
MIR555	ENSG00000283701
MIR556	ENSG00000207729
MIR557	ENSG00000207974
MIR558	ENSG00000207653
MIR559	ENSG00000207923
MIR561	ENSG00000207951
MIR562	ENSG00000207626
MIR563	ENSG00000207815
MIR564	ENSG00000284498
MIR567	ENSG00000207940
MIR568	ENSG00000284134
MIR569	ENSG00000207963
MIR570	ENSG00000207650
MIR570HG	
MIR571	ENSG00000207642
MIR572	ENSG00000207716
MIR573	ENSG00000207697
MIR574	ENSG00000207944
MIR575	ENSG00000207746
MIR576	ENSG00000207988
MIR577	ENSG00000207931
MIR578	ENSG00000207559
MIR579	ENSG00000207956
MIR580	ENSG00000207756
MIR581	ENSG00000207627
MIR582	ENSG00000202601
MIR583	ENSG00000207578
MIR583HG	ENSG00000250551
MIR584	ENSG00000207714
MIR585	ENSG00000207619
MIR586	ENSG00000207769
MIR587	ENSG00000207577
MIR588	ENSG00000207632
MIR589	ENSG00000207973
MIR590	ENSG00000207741
MIR591	ENSG00000208025
MIR592	ENSG00000207692
MIR593	ENSG00000207588
MIR595	ENSG00000207637
MIR596	ENSG00000207826
MIR597	ENSG00000207701
MIR598	ENSG00000207600
MIR599	ENSG00000207804
MIR600	ENSG00000283941
MIR600HG	ENSG00000236901
MIR601	ENSG00000207991
MIR602	ENSG00000207693
MIR603	ENSG00000207930
MIR604	ENSG00000207612
MIR605	ENSG00000207813
MIR606	ENSG00000207583
MIR607	ENSG00000207976
MIR608	ENSG00000207551
MIR609	ENSG00000208033
MIR610	ENSG00000207874
MIR611	ENSG00000284108
MIR612	ENSG00000283791
MIR613	ENSG00000207983
MIR614	ENSG00000283759
MIR615	ENSG00000207571
MIR616	ENSG00000208028
MIR617	ENSG00000207763
MIR618	ENSG00000208022
MIR619	ENSG00000207622
MIR620	ENSG00000207967
MIR621	ENSG00000207652
MIR622	ENSG00000283783
MIR623	ENSG00000207719
MIR624	ENSG00000207952
MIR625	ENSG00000207781
MIR626	ENSG00000207766
MIR627	ENSG00000207712
MIR628	ENSG00000283891
MIR629	ENSG00000207965
MIR630	ENSG00000283798
MIR631	ENSG00000284343
MIR632	ENSG00000283774
MIR633	ENSG00000207552
MIR634	ENSG00000207943
MIR635	ENSG00000207561
MIR636	ENSG00000283805
MIR637	ENSG00000283928
MIR638	ENSG00000207972
MIR639	ENSG00000283822
MIR640	ENSG00000207821
MIR641	ENSG00000207631
MIR642A	ENSG00000207773
MIR642B	ENSG00000283212
MIR643	ENSG00000208002
MIR644A	ENSG00000207997
MIR645	ENSG00000208018
MIR646	ENSG00000207802
MIR646HG	ENSG00000228340
MIR647	ENSG00000207554
MIR648	ENSG00000207780
MIR649	ENSG00000207575
MIR650	ENSG00000284049
MIR651	ENSG00000207628
MIR652	ENSG00000208013
MIR653	ENSG00000208014
MIR654	ENSG00000207934
MIR655	ENSG00000207646
MIR656	ENSG00000207959
MIR657	ENSG00000207736
MIR658	ENSG00000284197
MIR659	ENSG00000207696
MIR660	ENSG00000207970
MIR661	ENSG00000207574
MIR662	ENSG00000207579
MIR663A	ENSG00000284419
MIR663AHG	ENSG00000227195
MIR663B	ENSG00000221288
MIR664A	ENSG00000281696
MIR664B	ENSG00000284450
MIR665	ENSG00000283159
MIR668	ENSG00000276352
MIR670	ENSG00000211568
MIR670HG	ENSG00000235661
MIR671	ENSG00000284191
MIR675	ENSG00000284010
MIR676	ENSG00000211991
MIR708	ENSG00000211997
MIR711	ENSG00000284251
MIR718	ENSG00000284286
MIR744	ENSG00000266297
MIR758	ENSG00000211582
MIR759	ENSG00000211579
MIR760	ENSG00000211575
MIR761	ENSG00000283899
MIR762	ENSG00000211591
MIR762HG	ENSG00000260083
MIR764	ENSG00000212100
MIR765	ENSG00000211581
MIR766	ENSG00000211578
MIR767	ENSG00000211583
MIR769	ENSG00000211580
MIR770	ENSG00000211574
MIR802	ENSG00000211590
MIR873	ENSG00000215939
MIR874	ENSG00000216009
MIR875	ENSG00000216069
MIR876	ENSG00000215966
MIR877	ENSG00000216101
MIR885	ENSG00000216135
MIR887	ENSG00000216077
MIR888	ENSG00000216005
MIR889	ENSG00000216099
MIR890	ENSG00000216075
MIR891A	ENSG00000216056
MIR891B	ENSG00000216064
MIR892A	ENSG00000215943
MIR892B	ENSG00000216098
MIR892C	ENSG00000252219
MIR920	ENSG00000216192
MIR921	ENSG00000215952
MIR922	ENSG00000284146
MIR924	ENSG00000283615
MIR924HG	
MIR933	ENSG00000215973
MIR934	ENSG00000216060
MIR935	ENSG00000284583
MIR936	ENSG00000283788
MIR937	ENSG00000284224
MIR938	ENSG00000216035
MIR939	ENSG00000284310
MIR940	ENSG00000284346
MIR941-1	ENSG00000283206
MIR941-2	ENSG00000216141
MIR941-3	ENSG00000283513
MIR941-4	ENSG00000216195
MIR941-5	ENSG00000275842
MIR942	ENSG00000215930
MIR943	ENSG00000284587
MIR944	ENSG00000216058
MIR1178	ENSG00000283768
MIR1179	ENSG00000221630
MIR1180	ENSG00000221540
MIR1181	ENSG00000284268
MIR1182	ENSG00000283799
MIR1183	ENSG00000221783
MIR1184-1	ENSG00000221533
MIR1184-2	ENSG00000221190
MIR1184-3	ENSG00000221603
MIR1185-1	ENSG00000221525
MIR1185-2	ENSG00000221614
MIR1193	ENSG00000221036
MIR1197	ENSG00000221745
MIR1199	ENSG00000284081
MIR1200	ENSG00000221325
MIR1202	ENSG00000221456
MIR1203	ENSG00000221739
MIR1204	ENSG00000283710
MIR1205	ENSG00000221771
MIR1206	ENSG00000283200
MIR1207	ENSG00000221176
MIR1208	ENSG00000221261
MIR1224	ENSG00000221120
MIR1225	ENSG00000221656
MIR1226	ENSG00000221585
MIR1227	ENSG00000221411
MIR1228	ENSG00000221365
MIR1229	ENSG00000221394
MIR1231	ENSG00000221028
MIR1233-1	ENSG00000221649
MIR1233-2	ENSG00000221065
MIR1234	ENSG00000284139
MIR1236	ENSG00000284446
MIR1237	ENSG00000221273
MIR1238	ENSG00000221410
MIR1243	ENSG00000283193
MIR1244-1	ENSG00000284378
MIR1244-2	ENSG00000283498
MIR1244-3	ENSG00000283429
MIR1244-4	ENSG00000283475
MIR1245A	ENSG00000221502
MIR1245B	ENSG00000283238
MIR1246	ENSG00000283203
MIR1247	ENSG00000283857
MIR1248	ENSG00000283958
MIR1249	ENSG00000221598
MIR1250	ENSG00000221025
MIR1251	ENSG00000221479
MIR1252	ENSG00000221788
MIR1253	ENSG00000221200
MIR1255A	ENSG00000221265
MIR1255B1	ENSG00000283207
MIR1255B2	ENSG00000221545
MIR1256	ENSG00000221808
MIR1257	ENSG00000284193
MIR1258	ENSG00000221240
MIR1260A	ENSG00000221754
MIR1260B	ENSG00000266192
MIR1261	ENSG00000221586
MIR1262	ENSG00000221203
MIR1263	ENSG00000221251
MIR1264	ENSG00000276158
MIR1265	ENSG00000221371
MIR1266	ENSG00000221052
MIR1267	ENSG00000221650
MIR1268A	ENSG00000221641
MIR1268B	ENSG00000265561
MIR1269A	ENSG00000221563
MIR1269B	ENSG00000265503
MIR1270	ENSG00000238517
MIR1271	ENSG00000221464
MIR1272	ENSG00000221033
MIR1273C	ENSG00000264814
MIR1273H	ENSG00000274466
MIR1275	ENSG00000221697
MIR1276	ENSG00000221634
MIR1277	ENSG00000221463
MIR1278	ENSG00000221680
MIR1279	ENSG00000283476
MIR1281	ENSG00000284015
MIR1282	ENSG00000221792
MIR1283-1	ENSG00000221421
MIR1283-2	ENSG00000221548
MIR1284	ENSG00000221264
MIR1285-1	ENSG00000221520
MIR1285-2	ENSG00000221238
MIR1286	ENSG00000221039
MIR1287	ENSG00000284415
MIR1288	ENSG00000221355
MIR1289-1	ENSG00000221763
